fruit	vegetables	meat	Eggs	Vit_B	Multimineral_vitamin	Herbs_tea	greenery
H17795	1	1	1	1	1	0	0	0
H17783	0	0	0	0	0	0	0	1
H17807	1	1	1	1	1	0	0	0
H17811	1	1	1	1	1	0	0	0
H17768	1	1	1	1	1	0	0	0
H17808	1	1	1	1	1	0	0	0
H17796	1	1	1	0	0	1	0	0
H17797	1	1	1	1	1	0	0	0
H17777	1	1	0	1	1	0	0	0
H17817	1	1	1	0	0	1	0	0
H17814	1	1	0	1	1	0	0	0
H17815	1	1	0	1	1	0	0	0
H17799	1	1	0	1	1	0	0	0
H17812	1	1	0	1	1	0	0	0
H17770	1	1	0	1	1	0	0	0
H17816	1	1	0	1	1	0	0	0
H17776	1	1	1	1	1	0	0	0
H17787	0	0	0	0	0	0	0	1
H17798	0	0	0	0	0	0	0	1
H17802	1	1	1	1	0	1	0	0
H17778	0	0	0	0	0	0	0	1
H17788	0	0	0	0	0	0	0	1
H17793	0	0	0	0	0	0	0	1
H17804	0	0	0	0	0	0	0	1
H17805	0	0	0	0	0	0	0	1
H17790	0	1	0	0	0	1	1	1
H17792	0	0	0	0	0	0	0	1
H17779	1	1	1	1	0	1	0	0
H17772	0	0	0	0	0	1	0	1
H17771	0	1	0	0	0	1	1	1
H17794	1	1	1	1	1	0	0	0
H21016	1	1	1	1	1	0	0	0
H17775	1	1	1	1	1	0	0	0
H17803	0	1	0	0	0	1	1	1
H17773	0	1	0	0	0	1	1	1
H17789	1	1	1	1	0	1	0	0
H17785	0	0	0	0	0	0	0	1
H17774	0	0	0	0	0	0	0	1
H17781	0	0	0	0	0	0	0	1
H17766	0	0	0	0	0	0	0	1
H17782	0	0	0	0	0	1	0	1
H17780	0	0	0	0	0	1	0	1
H17784	0	0	0	0	0	1	0	1
H17813	1	1	1	1	1	0	0	0
H17786	1	1	1	1	1	0	0	0
H17791	1	1	1	1	1	0	0	0
H17769	1	1	1	1	1	0	0	0
H17810	1	1	1	1	1	0	0	0
H17800	1	1	1	1	0	1	0	0
H17806	0	0	0	0	0	0	0	1
H17767	1	1	1	1	1	0	0	0
H17801	1	1	1	1	0	1	0	0
H17765	0	0	0	0	0	1	0	1
F16128	1	1	0	0	0	0	0	0
F16122	1	1	0	0	0	0	0	0
F16127	1	1	0	0	0	0	0	0
F16126	1	1	0	0	0	0	0	0
F16129	1	1	0	0	0	0	0	0
F16121	1	1	0	0	0	0	0	0
F16124	1	1	0	0	0	0	0	0
F16123	1	1	0	0	0	0	0	0
F16125	1	1	0	0	0	0	0	0
H17681	0	0	1	0	0	0	0	0
H17751	1	0	1	0	0	0	0	0
H17704	1	0	1	0	0	0	0	0
H17688	1	0	1	0	0	0	0	0
H17699	1	0	1	0	0	0	0	0
H17760	1	0	1	0	0	0	0	0
H17745	1	0	1	0	0	0	0	0
H17743	1	0	1	0	0	0	0	0
H17725	1	0	1	0	0	0	0	0
H17694	1	0	1	0	0	0	0	0
H17733	1	0	1	0	0	0	0	0
H17672	1	0	1	0	0	0	0	0
H21013	1	0	1	0	0	0	0	0
H17716	1	0	1	0	0	0	0	0
H21015	1	0	1	0	0	0	0	0
H17715	1	0	1	0	0	0	0	0
H17665	1	0	1	0	0	0	0	0
H17762	1	0	1	0	0	0	0	0
H17749	1	0	1	0	0	0	0	0
H17748	1	0	1	0	0	0	0	0
H17727	1	0	1	0	0	0	0	0
H17731	1	1	1	1	1	1	1	0
H17732	1	1	1	1	1	1	1	0
H17741	1	1	1	1	1	1	1	0
H17705	1	1	1	1	1	1	1	0
H17752	1	1	1	1	1	1	1	0
H17695	1	1	1	1	1	1	1	0
H17691	1	1	1	1	1	1	1	0
H17703	1	1	1	1	1	1	1	0
H17728	1	1	1	1	1	1	1	0
H21014	1	1	0	1	0	0	1	0
H17666	1	1	1	1	1	1	1	0
H17710	1	1	1	1	1	1	1	0
H17737	1	1	1	1	1	1	1	0
H17730	1	1	1	1	1	1	1	0
H17706	1	1	1	1	1	1	1	0
H17761	1	1	1	1	1	1	1	0
H17686	1	1	1	1	1	1	1	0
H17675	1	1	1	1	1	1	1	0
H17679	1	1	1	1	1	1	1	0
H17721	1	1	0	1	0	0	1	0
H17722	1	1	0	1	0	0	1	0
H17677	1	1	0	1	0	0	1	0
H17718	1	1	0	1	0	0	1	0
H17717	1	1	0	1	0	0	1	0
H17664	1	1	0	1	0	0	1	0
H17669	1	1	0	1	0	0	1	0
H17744	1	1	0	1	0	0	1	0
H17763	1	1	0	1	0	0	1	0
H17724	1	1	0	1	0	0	1	0
H17689	1	1	0	1	0	0	1	0
H17739	1	1	0	1	0	0	1	0
H17687	1	1	0	1	0	0	1	0
H17701	1	1	0	1	0	0	1	0
H17726	1	1	0	1	0	0	1	0
H17692	1	1	0	1	0	0	1	0
H17702	1	1	0	1	0	0	1	0
H17734	1	1	0	1	0	0	1	0
H17723	1	1	0	1	0	0	1	0
H17729	1	1	1	1	1	1	1	0
